,station,stress,latitude,longitude,geometry,covid_19_deaths_per_thousand
287,upminster-bridge,220,51.5577188010339,0.23454188868617798,POINT (0.234541888686178 51.5577188010339),0.636780438
288,vauxhall,14142,51.485735801715705,-0.123829952856406,POINT (-0.123829952856406 51.48573580171571),0.682360969
289,warren-street,29105,51.5245799886272,-0.138278331644798,POINT (-0.138278331644798 51.5245799886272),0.299520767
290,waterloo-east,10145,51.5041686097651,-0.10915363758111,POINT (-0.10915363758111 51.5041686097651),0.0
291,watford-junction,475,51.6638830132479,-0.396171957174806,POINT (-0.396171957174806 51.6638830132479),2.5
292,south-ruislip,1235,51.5568903024427,-0.399115910294711,POINT (-0.399115910294711 51.5568903024427),0.216052717
293,west-ruislip,441,51.569587871370295,-0.4378601455566871,POINT (-0.4378601455566871 51.5695878713703),0.700852704
294,queenstown-road,552,51.474959127149496,-0.147355312102418,POINT (-0.147355312102418 51.4749591271495),0.508979859
295,earlsfield,815,51.4422388073847,-0.187272688578691,POINT (-0.187272688578691 51.4422388073847),0.352360817
296,wimbledon,2893,51.4211078449718,-0.206662835920936,POINT (-0.206662835920936 51.4211078449718),0.266595575
297,woolwich-arsenal,1017,51.489907116548004,0.0691939064074983,POINT (0.0691939064074983 51.489907116548),0.702658391
298,hackney-downs,3199,51.549078085173996,-0.0601851050631527,POINT (-0.0601851050631527 51.549078085174),0.113237459
299,east-croydon,923,51.375716101925704,-0.0918634960219951,POINT (-0.0918634960219951 51.3757161019257),0.305872757
300,lebanon-road,858,51.3751989969703,-0.0849736491745109,POINT (-0.0849736491745109 51.3751989969703),0.305872757
301,lea-bridge,161,51.5666362612654,-0.0366831577380684,POINT (-0.0366831577380684 51.5666362612654),0.410130216
302,royal-victoria,886,51.50905523506479,0.017965412568385,POINT (0.017965412568385 51.50905523506479),0.298018179
303,custom-house,1094,51.5096220567499,0.0257725102639474,POINT (0.0257725102639474 51.5096220567499),0.298018179
304,prince-regent,933,51.509434549718,0.0334885740458409,POINT (0.0334885740458409 51.509434549718),0.684072512
305,royal-albert,811,51.5084938696371,0.0451771450658638,POINT (0.0451771450658638 51.5084938696371),0.457875458
306,beckton-park,641,51.508900793712215,0.0548219388642393,POINT (0.0548219388642393 51.50890079371221),0.457875458
